0.00549	0.00014
0.007	0.00005
0.08668	0.000175
0.0225	0.00005
0.0017	0.00005
0.164	0.00006
0.0031	0.000075
0.0122	0.00005
0.00424	0.000115
0.00049	0.000115
0.000095	0.00005
0.00061	0.000215
0.0027	0.000265
0.0009	0.000095
0.0009	0.000075
0.02469	0.00033
0.001	0.00115
0.002	0.000265
0.0005	0.000215
0.0079	0.00215
0.005505	0.000095
0.0031	0.00115
0.00513	0.000075
0.00584	0.000265
0.00008	0.000075
0.00155	0.000215
0.00025	0.000215
0.0026	0.0027
0.00061	0.0014
0.00033	0.000265
0.0011	0.000215
0.00092	0.00014
0.00355	0.00006
0.0091	0.00006
0.0221	0.00006
0.00035	0.000075
0.00031	0.000265
0.16335	0.000215
0.31434	0.00005
0.007	0.000215
0.0021	0.000075
0.1345	0.0004
0.0034	0.000075
0.0003	0.000075
0.00031	0.00006
0.0046	0.00005
0.0081	0.00014
0.11609	0.000075
0.02426	0.00006
0.00329	0.00006
0.0012	0.000115
0.0032	0.00006
0.00138	0.000175
0.017	0.000075
0.00263	0.000175
0.0065	0.00014
0.0069	0.000115
0.0049	0.00006
0.057	0.000075
0.0065	0.000075
0.0273	0.000095
0.04711	0.000075
0.0216	0.00006
0.021	0.000095
0.0054	0.000095
0.0004	0.000115
0.0135	0.0005
0.00075	0.00014
0.0005	0.00006
0.0071	0.00095
0.003	0.000095
0.0043	0.00005
0.006	0.000095
0.0011	0.000075
0.0028	0.000075
0.0031	0.00006
0.0025	0.000075
0.0006	0.00075
0.0497	0.000095
0.0165	0.000115
0.0027	0.000095
0.00064	0.000215
0.0032	0.000115
0.0027	0.000095
0.0152	0.000175
0.0087	0.00006
0.0011	0.00062
0.0004	0.000075
0.006	0.00006
0.00486	0.000075
0.0033	0.000095
0.04378	0.00014
0.192	0.00033
0.129	0.000215
0.0815	0.000175
0.0039	0.00175
0.00495	0.00006
0.44564	0.000215
0.0167	0.0004
0.0107	0.000095
0.0018	0.00115
